round , IFNamma[] , TNF[] , Total APC , Total NK , Total LT , APC with Ag  , APC bound , APC exhausted , APC.IFNgamma_production_rate , APC.TNF_production_rate , NK with Ag  , NK bound , NK exhausted , NK.IFNgamma_production_rate , NK.TNF_production_rate , LT no receptor,LT free  , LT bound , LT.IFNgamma_production_rate , LT.TNF_production_rate , Ag , 
19 , 694.243 , 5550.83 , 102768 , 102768 , 1.07907e+006 , 4782.87 , 92600.4 , 5203.48 , 4.65575 , 528.08 , 4782.87 , 92600.4 , 5203.48 , 4.65575 , 528.08 , 161.672 , 77.4036 , 100745 , 201.578 , 20.1666 , 10
20 , 938.188 , 6646.68 , 102880 , 102880 , 1.11655e+006 , 1505.72 , 94988.7 , 6255.65 , 4.75827 , 541.524 , 1505.72 , 94988.7 , 6255.65 , 4.75827 , 541.524 , 161.479 , 90.3584 , 134662 , 269.426 , 26.9513 , 10
21 , 1258.39 , 7763.62 , 103003 , 103003 , 1.16217e+006 , 333.72 , 95254 , 7322.09 , 4.7653 , 542.974 , 333.72 , 95254 , 7322.09 , 4.7653 , 542.974 , 161.817 , 105.833 , 176903 , 353.923 , 35.4011 , 10
22 , 1671.67 , 8886.72 , 103128 , 103128 , 1.21601e+006 , 54.0593 , 94620.5 , 8386.18 , 4.73196 , 539.346 , 54.0593 , 94620.5 , 8386.18 , 4.73196 , 539.346 , 162.286 , 122.978 , 227617 , 455.369 , 45.5456 , 10
23 , 2194.22 , 10011.8 , 103244 , 103244 , 1.27715e+006 , 10.1774 , 93744.2 , 9441.79 , 4.68774 , 534.348 , 10.1774 , 93744.2 , 9441.79 , 4.68774 , 534.348 , 162.743 , 140.989 , 285914 , 571.981 , 57.2069 , 10
24 , 2839.28 , 11138.8 , 103348 , 103348 , 1.34345e+006 , 4.03344 , 92822.3 , 10487.2 , 4.64148 , 529.091 , 4.03344 , 92822.3 , 10487.2 , 4.64148 , 529.091 , 163.152 , 159.094 , 349691 , 699.553 , 69.9641 , 10
25 , 3614.77 , 12268.2 , 103437 , 103437 , 1.41174e+006 , 2.25931 , 91888.6 , 11521.9 , 4.59469 , 523.768 , 2.25931 , 91888.6 , 11521.9 , 4.59469 , 523.768 , 163.505 , 176.516 , 415808 , 831.805 , 83.1893 , 10
26 , 4521.72 , 13400.1 , 103512 , 103512 , 1.4784e+006 , 1.35995 , 90948 , 12545.3 , 4.54758 , 518.405 , 1.35995 , 90948 , 12545.3 , 4.54758 , 518.405 , 163.801 , 192.552 , 480646 , 961.497 , 96.1585 , 10
27 , 5554.1 , 14533.8 , 103573 , 103573 , 1.5401e+006 , 0.849589 , 90002.6 , 13557.2 , 4.50026 , 513.016 , 0.849589 , 90002.6 , 13557.2 , 4.50026 , 513.016 , 164.043 , 206.684 , 540861 , 1081.94 , 108.203 , 10
28 , 6700 , 15668.1 , 103622 , 103622 , 1.59445e+006 , 0.547006 , 89054.6 , 14557.5 , 4.45282 , 507.612 , 0.547006 , 89054.6 , 14557.5 , 4.45282 , 507.612 , 164.235 , 218.645 , 594023 , 1188.28 , 118.837 , 10
29 , 7943.89 , 16801.4 , 103659 , 103659 , 1.64025e+006 , 0.361032 , 88106.4 , 15546.1 , 4.40538 , 502.207 , 0.361032 , 88106.4 , 15546.1 , 4.40538 , 502.207 , 164.385 , 228.413 , 638904 , 1278.05 , 127.814 , 10
30 , 9268.92 , 17932 , 103688 , 103688 , 1.67743e+006 , 0.243087 , 87159.9 , 16523.3 , 4.35804 , 496.812 , 0.243087 , 87159.9 , 16523.3 , 4.35804 , 496.812 , 164.499 , 236.151 , 675383 , 1351.02 , 135.11 , 10
31 , 10658.8 , 19058.3 , 103710 , 103710 , 1.70671e+006 , 0.166255 , 86217 , 17489 , 4.31089 , 491.438 , 0.166255 , 86217 , 17489 , 4.31089 , 491.438 , 164.585 , 242.132 , 704131 , 1408.52 , 140.861 , 10
32 , 12099.3 , 20179 , 103725 , 103725 , 1.72921e+006 , 0.115084 , 85279.4 , 18443.5 , 4.264 , 486.093 , 0.115084 , 85279.4 , 18443.5 , 4.264 , 486.093 , 164.648 , 246.665 , 726239 , 1452.74 , 145.283 , 10
33 , 13578.1 , 21292.8 , 103737 , 103737 , 1.74618e+006 , 0.0803904 , 84348.3 , 19387 , 4.21743 , 480.786 , 0.0803904 , 84348.3 , 19387 , 4.21743 , 480.786 , 164.695 , 250.049 , 742924 , 1486.11 , 148.62 , 10
34 , 15085.8 , 22399 , 103746 , 103746 , 1.7588e+006 , 0.0565368 , 83424.6 , 20319.7 , 4.17124 , 475.52 , 0.0565368 , 83424.6 , 20319.7 , 4.17124 , 475.52 , 164.729 , 252.548 , 755337 , 1510.94 , 151.103 , 10
35 , 16614.7 , 23496.9 , 103752 , 103752 , 1.76809e+006 , 0.03996 , 82509 , 21241.9 , 4.12546 , 470.301 , 0.03996 , 82509 , 21241.9 , 4.12546 , 470.301 , 164.754 , 254.376 , 764474 , 1529.22 , 152.93 , 10
36 , 18159.3 , 24585.9 , 103756 , 103756 , 1.77488e+006 , 0.0283468 , 81601.9 , 22153.6 , 4.0801 , 465.131 , 0.0283468 , 81601.9 , 22153.6 , 4.0801 , 465.131 , 164.772 , 255.706 , 771148 , 1542.56 , 154.265 , 10
37 , 19715.1 , 25665.7 , 103759 , 103759 , 1.7798e+006 , 0.020162 , 80703.8 , 23055 , 4.0352 , 460.012 , 0.020162 , 80703.8 , 23055 , 4.0352 , 460.012 , 164.785 , 256.669 , 775994 , 1552.26 , 155.235 , 10
38 , 21279.1 , 26736.2 , 103762 , 103762 , 1.78337e+006 , 0.014368 , 79814.9 , 23946.4 , 3.99075 , 454.945 , 0.014368 , 79814.9 , 23946.4 , 3.99075 , 454.945 , 164.794 , 257.364 , 779499 , 1559.27 , 155.936 , 10
39 , 22849 , 27797.3 , 103763 , 103763 , 1.78593e+006 , 0.0102532 , 78935.1 , 24827.8 , 3.94676 , 449.93 , 0.0102532 , 78935.1 , 24827.8 , 3.94676 , 449.93 , 164.8 , 257.865 , 782027 , 1564.32 , 156.441 , 10
40 , 24423.1 , 28848.7 , 103764 , 103764 , 1.78778e+006 , 0.00732412 , 78064.7 , 25699.3 , 3.90324 , 444.969 , 0.00732412 , 78064.7 , 25699.3 , 3.90324 , 444.969 , 164.805 , 258.224 , 783845 , 1567.96 , 156.805 , 10
41 , 26000.2 , 29890.7 , 103765 , 103765 , 1.78911e+006 , 0.00523555 , 77203.6 , 26561.2 , 3.86018 , 440.061 , 0.00523555 , 77203.6 , 26561.2 , 3.86018 , 440.061 , 164.809 , 258.482 , 785151 , 1570.57 , 157.066 , 10
42 , 27579.5 , 30923 , 103766 , 103766 , 1.79006e+006 , 0.00374448 , 76351.9 , 27413.6 , 3.81759 , 435.206 , 0.00374448 , 76351.9 , 27413.6 , 3.81759 , 435.206 , 164.811 , 258.667 , 786088 , 1572.45 , 157.254 , 10
43 , 29160.2 , 31945.9 , 103766 , 103766 , 1.79074e+006 , 0.00267906 , 75509.3 , 28256.5 , 3.77547 , 430.403 , 0.00267906 , 75509.3 , 28256.5 , 3.77547 , 430.403 , 164.813 , 258.8 , 786760 , 1573.79 , 157.388 , 10
44.01 , 30757.9 , 32969.4 , 103766 , 103766 , 1.79124e+006 , 0.00191088 , 74667.7 , 29098.3 , 3.73339 , 425.606 , 0.00191088 , 74667.7 , 29098.3 , 3.73339 , 425.606 , 164.814 , 258.896 , 787246 , 1574.76 , 157.485 , 10
45.01 , 32340.4 , 33973.4 , 103766 , 103766 , 1.79159e+006 , 0.00136779 , 73843.6 , 29922.6 , 3.69218 , 420.909 , 0.00136779 , 73843.6 , 29922.6 , 3.69218 , 420.909 , 164.815 , 258.964 , 787590 , 1575.45 , 157.554 , 10
46.01 , 33923.5 , 34968.1 , 103766 , 103766 , 1.79184e+006 , 0.00097919 , 73028.6 , 30737.7 , 3.65143 , 416.263 , 0.00097919 , 73028.6 , 30737.7 , 3.65143 , 416.263 , 164.816 , 259.012 , 787836 , 1575.94 , 157.603 , 10
47.01 , 35506.9 , 35953.6 , 103766 , 103766 , 1.79202e+006 , 0.000701059 , 72222.5 , 31543.8 , 3.61112 , 411.668 , 0.000701059 , 72222.5 , 31543.8 , 3.61112 , 411.668 , 164.816 , 259.047 , 788012 , 1576.3 , 157.638 , 10
48.01 , 37090.5 , 36930 , 103766 , 103766 , 1.79214e+006 , 0.000501964 , 71425.3 , 32341.1 , 3.57126 , 407.124 , 0.000501964 , 71425.3 , 32341.1 , 3.57126 , 407.124 , 164.817 , 259.072 , 788138 , 1576.55 , 157.664 , 10
49.01 , 38674.2 , 37897.4 , 103766 , 103766 , 1.79224e+006 , 0.000359428 , 70636.8 , 33129.5 , 3.53184 , 402.63 , 0.000359428 , 70636.8 , 33129.5 , 3.53184 , 402.63 , 164.817 , 259.09 , 788229 , 1576.73 , 157.682 , 10
50.01 , 40258.1 , 38855.8 , 103766 , 103766 , 1.7923e+006 , 0.000257375 , 69857.1 , 33909.2 , 3.49285 , 398.185 , 0.000257375 , 69857.1 , 33909.2 , 3.49285 , 398.185 , 164.817 , 259.102 , 788293 , 1576.86 , 157.695 , 10
51.01 , 41841.9 , 39805.4 , 103766 , 103766 , 1.79235e+006 , 0.000184303 , 69085.9 , 34680.3 , 3.4543 , 393.79 , 0.000184303 , 69085.9 , 34680.3 , 3.4543 , 393.79 , 164.817 , 259.112 , 788340 , 1576.95 , 157.704 , 10
52.01 , 43425.8 , 40746.3 , 103766 , 103766 , 1.79238e+006 , 0.000131979 , 68323.3 , 35442.8 , 3.41617 , 389.443 , 0.000131979 , 68323.3 , 35442.8 , 3.41617 , 389.443 , 164.817 , 259.118 , 788373 , 1577.02 , 157.711 , 10
